Reef_ID,Nick_ID,Lat,Long,Unique_ID,Label.ID,GBR.Name,OldReefName,Area_desc,Shelf.position,AIMS_Sector,GreenZone,Ref.Area.km2,Geom.total.km2,Geom.CH.km2,Ungrazable
1108,415,-13.9773,144.4547,13130100104,13-130,Davie Reef,Davie Reef (13-130),Far Northern,3,2,0,6.755884992,17.73055667,14.86725031,0.375415672
1109,415,-13.962,144.5744,13131100104,13-131,Eves Reef,Eves Reef (13-131),Far Northern,3,3,1,0.679687964,2.830561648,2.1589763,0.320164616
1110,415,-13.9759,144.552,13132100104,13-132,U/N Reef,U/N Reef (13-132),Far Northern,3,3,1,0.549504613,1.455970958,0.013270288,0.292999814
1111,462,-14.4742,144.643,14071101104,14-071a,Weigall Reefs (East),Weigall Reefs (East) (14-071a),Far Northern,1,3,1,0.512265445,2.365211066,1.832068372,0.273867268
1112,462,-14.479,144.6377,14071102104,14-071b,Weigall Reefs (West),Weigall Reefs (West) (14-071b),Far Northern,1,3,1,0.166018592,0.960282986,0.664564557,0.273867268
1113,455,-14.4774,144.9579,14072100104,14-072,Megaera Reef,Megaera Reef (14-072),Far Northern,1,3,0,0.961922066,3.729993149,2.997102343,0.285246963
1114,440,-14.2335,145.0026,14073100104,14-073,U/N Reef,U/N Reef (14-073),Far Northern,3,3,0,4.583996129,13.3616998,9.08275122,0.35846427
1115,440,-14.2677,145.0678,14074100104,14-074,U/N Reef,U/N Reef (14-074),Far Northern,3,3,0,44.98941744,74.22638906,23.38648818,0.297503977
1116,441,-14.2892,145.165,14075100104,14-075,U/N Reef,U/N Reef (14-075),Far Northern,3,3,0,8.735003297,18.39491512,9.997320069,0.292165814
1117,445,-14.3132,145.182,14076100104,14-076,U/N Reef,U/N Reef (14-076),Far Northern,3,3,0,0.202621957,0.853459157,0.419709407,0.299481853
1118,478,-14.7072,145.5388,14141100104,14-141,U/N Reef,U/N Reef (14-141),Cairns/Cooktown,2,3,0,1.555193552,0.855739932,0.422735822,0.197978091
1119,478,-14.7313,145.5825,14142100104,14-142,U/N Reef,U/N Reef (14-142),Cairns/Cooktown,2,3,0,0.514007212,1.070572263,0.696661648,0.232262908
1120,478,-14.7458,145.5106,14143100104,14-143,North Direction Reef,North Direction Reef (14-143),Cairns/Cooktown,2,3,1,0.691936823,1.804201971,1.351010842,0.219083187
1121,482,-14.7826,145.5309,14144100104,14-144,Kedge Reef,Kedge Reef (14-144),Cairns/Cooktown,2,3,0,6.366075612,0.920787732,0.120100679,0.195489028
1122,483,-14.7899,145.5866,14145100104,14-145,U/N Reef,U/N Reef (14-145),Cairns/Cooktown,2,3,0,6.126320552,2.482249728,1.725061065,0.23063231
1123,361,-13.3326,143.7807,13055100104,13-055,Peter Reef,Peter Reef (13-055),Far Northern,2,2,0,31.80078397,40.91242795,13.10862256,0.219157453
1124,363,-13.3672,143.9621,13056100104,13-056,Sand Bank No 8 Reef,Sand Bank No 8 Reef (13-056),Far Northern,3,2,1,2.581322927,7.683691043,4.493298178,0.310178228
1125,357,-13.3688,143.5992,13057101104,13-057a,Sharland Reefs (No 1),Sharland Reefs (No 1) (13-057a),Far Northern,1,2,1,0.71900823,3.102136776,1.096806015,0.273867268
1126,357,-13.3826,143.5974,13057102104,13-057b,Sharland Reefs (No 2),Sharland Reefs (No 2) (13-057b),Far Northern,1,2,1,0.991640537,4.011966251,1.818650047,0.273867268
1127,364,-13.4009,143.6101,13058101104,13-058a,U/N Reef,U/N Reef (13-058a),Far Northern,1,2,1,0.289567162,1.498557114,0.173667355,0.273867268
1128,364,-13.4086,143.6049,13058102104,13-058b,U/N Reef,U/N Reef (13-058b),Far Northern,1,2,1,0.20424155,1.099871348,0.012270076,0.26719472
