"Reef.Number","OldReefName","Year","Coral.Cover","Method","Lat","Long","Mean","CoverLower_estimate","CoverUpper_estimate","Range"
2334,"U/N Reef (20-596)",2014,15.41601,"Reefmod",NA,NA,63.5270081934782,56.1633928974655,69.9639011045446,13.8005082070792
2335,"U/N Reef (20-597)",2014,16.07772,"Reefmod",NA,NA,63.3791104776937,56.325165143088,68.1901739744257,11.8650088313377
2336,"U/N Reef (20-598)",2014,15.50914,"Reefmod",NA,NA,55.7340927935564,43.5948911691925,69.0254291181677,25.4305379489752
2337,"U/N Reef (20-599)",2014,16.20721,"Reefmod",NA,NA,59.4781052177667,52.035311028778,65.7992201914813,13.7639091627033
2338,"U/N Reef (20-600)",2014,10.34711,"Reefmod",NA,NA,60.278556258264,47.8545077538502,66.6886320148854,18.8341242610351
2339,"U/N Reef (20-601)",2014,12.34968,"Reefmod",NA,NA,61.4063275858458,47.6513040688093,71.2424063875472,23.5911023187379
2340,"U/N Reef (20-602)",2014,13.81651,"Reefmod",NA,NA,54.3426792587234,38.9109487114469,71.0045889651793,32.0936402537324
2341,"U/N Reef (20-603)",2014,11.62,"Reefmod",NA,NA,51.3543012088927,41.9996033300363,60.1646456866289,18.1650423565926
2342,"U/N Reef (20-604)",2014,14.27203,"Reefmod",NA,NA,58.5243419900507,46.6902262381895,69.6485434815642,22.9583172433747
2343,"U/N Reef (20-605)",2014,8.359098,"Reefmod",NA,NA,56.3979521133082,48.1280339648054,63.5727693737521,15.4447354089467
2344,"U/N Reef (20-607)",2014,14.28297,"Reefmod",NA,NA,58.9758162567217,53.0599999109698,64.7508473315552,11.6908474205855
2345,"Knight Reef (21-039)",2014,18.35998,"Reefmod",NA,NA,56.7519563362708,39.6998955395527,70.0296160670864,30.3297205275337
2346,"Minster Reef (21-040)",2014,11.78188,"Reefmod",NA,NA,56.1461143588355,50.9813811195256,66.1253880293656,15.14400690984
2347,"Festing Shoal (21-041)",2014,11.21328,"Reefmod",NA,NA,66.3740806874702,58.4067625018968,75.1127346171749,16.7059721152781
2348,"Beaver Shoal (21-043)",2014,11.57779,"Reefmod",NA,NA,61.3293418394149,56.3074118384217,70.7566343300743,14.4492224916526
2349,"Beverlac Reef (21-044)",2014,9.081493,"Reefmod",NA,NA,54.2026999422375,44.692780093299,63.534244869398,18.841464776099
2350,"U/N Reef (20-339a)",2014,4.068511,"Reefmod",NA,NA,62.206008823826,54.9893649255662,70.1066928097341,15.1173278841678
2351,"20-339b",2023,22,"Census",-20.7067,150.9378,40.4416273967137,36.0291984881496,45.9228498505526,9.89365136240295
2352,"U/N Reef (20-340)",2014,5.318444,"Reefmod",NA,NA,59.0842825494944,44.8433333276754,71.3067742254927,26.4634408978173
2353,"U/N Reef (20-341)",2014,6.350407,"Reefmod",NA,NA,51.022114579286,40.3549753493565,63.7148475147568,23.3598721654002
2354,"Thomas Reef (No 1) (20-234a)",2014,15.72286,"Reefmod",NA,NA,49.9340213639168,43.1873673925764,61.0890455488746,17.9016781562982
2355,"Thomas Reef (No 2) (20-234b)",2014,4.311862,"Reefmod",NA,NA,52.4932541135025,40.0447043178344,61.7702148317437,21.7255105139093
2356,"Thomas Reef (No 3) (20-234c)",2014,5.25238,"Reefmod",NA,NA,49.6744567833237,45.4571446829403,53.4372241836359,7.98007950069558
2357,"St Bees Island Reef (No 2) (20-279b)",2014,23.34885,"Reefmod",NA,NA,62.7090373929991,54.3184234347622,70.8726512672687,16.5542278325065
2358,"St Bees Island Reef (No 3) (20-279c)",2014,14.15504,"Reefmod",NA,NA,60.3735771270572,50.7400735988009,69.9442494929075,19.2041758941066
2359,"Aspatria Reef",2023,18,"Census",-20.9346,149.4706,29.786451999143,22.5830630039529,37.5540906782051,14.9710276742522
2360,"Wheatley Shoal (20-282)",2014,10.17122,"Reefmod",NA,NA,66.8484406504436,61.8434433946542,70.5759437889281,8.73250039427396
2361,"Flimby Shoal (20-283)",2014,10.4481,"Reefmod",NA,NA,53.1484166641774,40.5302765807004,69.8821970648841,29.3519204841837
2362,"Hesket Reef (20-284)",2014,14.29204,"Reefmod",NA,NA,58.5123698314728,48.066928069826,64.8033318113685,16.7364037415425
